2021-02-27T10:02:15.391Z [AUDIT] Token created by 'anonymous': tokenId='c7995e45-890e-4fb3-a267-d5fbfe347648', issuer='jfrou@01ezhf0fgffen3w0gvzw6ea86h', subject='jfrou@01ezhf0fgffen3w0gvzw6ea86h', expiry=none, refreshable=false
2021-02-27T10:02:19.618Z [AUDIT] Token created by 'anonymous': tokenId='5f575143-f667-4e64-8e17-7e1a5d14dd7c', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420259613, refreshable=false
2021-02-27T10:02:19.753Z [AUDIT] Token created by 'anonymous': tokenId='65798bb6-1721-41a3-abd1-a7f17916eab7', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420259751, refreshable=false
2021-02-27T10:02:19.973Z [AUDIT] Token created by 'anonymous': tokenId='98255bc2-78ab-4fd7-ab18-2db42f0964fe', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420259972, refreshable=false
2021-02-27T10:02:20.389Z [AUDIT] Token created by 'anonymous': tokenId='9552a3d2-aca1-41d1-a860-f1480cfefc75', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420260387, refreshable=false
2021-02-27T10:02:20.712Z [AUDIT] Token created by 'anonymous': tokenId='18f20590-5420-48fd-94da-555085b72ea2', issuer='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', subject='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', expiry=none, refreshable=false
2021-02-27T10:02:20.715Z [AUDIT] Token created by 'anonymous': tokenId='1eefe446-d1dc-4836-bc92-857f1cf72ed9', issuer='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', subject='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', expiry=none, refreshable=false
2021-02-27T10:02:22.553Z [AUDIT] Token created by 'jfrt@01ezhf0qhrd9pf0xtn2y4916ky': tokenId='6e995541-b7f2-4552-a08e-29a110a2d92a', issuer='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', subject='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', expiry=2560500142550, refreshable=false
2021-02-27T10:02:29.192Z [AUDIT] Token created by 'anonymous': tokenId='6e529146-69db-4f1c-95fa-9605ee7675b6', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-27T10:02:29.284Z [AUDIT] Token created by 'jffe@000': tokenId='aa2ba3a2-7b8c-4c4d-a287-94b436a19306', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614420749284, refreshable=false
2021-02-27T10:02:52.466Z [AUDIT] Token created by 'jffe@000': tokenId='532809dc-650b-4c51-99ca-89b19866f450', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614420772465, refreshable=false
2021-02-27T10:03:00.780Z [AUDIT] Token created by 'jffe@000': tokenId='5f6ff2ff-5e01-4fa8-9250-03bf2da383e6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614421980777, refreshable=true
2021-02-27T10:03:00.883Z [AUDIT] Token created by 'jffe@000': tokenId='bf54f36c-395f-4d63-a1b9-8cc5ea594554', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614420780882, refreshable=false
2021-02-27T10:03:00.885Z [AUDIT] Token created by 'jffe@000': tokenId='e65cf8aa-04da-4590-ae1c-b982b4a2110e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614420780884, refreshable=false
2021-02-27T10:03:00.885Z [AUDIT] Token created by 'jffe@000': tokenId='24cc9653-e554-41e8-96f0-d44dd2539ba0', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614420780885, refreshable=false
2021-02-27T10:03:01.770Z [AUDIT] Token created by 'jffe@000': tokenId='1da247b4-9d53-434d-ae09-1a068a91a620', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614420781770, refreshable=false
2021-02-27T10:07:00.814Z [AUDIT] Token created by 'anonymous': tokenId='4d84a500-7ad1-402f-becb-ad52fbf07477', issuer='jfrou@01ezhf0fgffen3w0gvzw6ea86h', subject='jfrou@01ezhf0fgffen3w0gvzw6ea86h', expiry=none, refreshable=false
2021-02-27T10:07:05.510Z [AUDIT] Token created by 'anonymous': tokenId='d2323009-2aee-481e-9358-faa11b1620d1', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420545500, refreshable=false
2021-02-27T10:07:05.642Z [AUDIT] Token created by 'anonymous': tokenId='08c478d7-eefd-4a45-8281-9bb95ea22841', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420545638, refreshable=false
2021-02-27T10:07:05.873Z [AUDIT] Token created by 'anonymous': tokenId='3e64e387-f25b-4431-9caf-70ea018d5eb6', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420545867, refreshable=false
2021-02-27T10:07:06.308Z [AUDIT] Token created by 'anonymous': tokenId='5be400ec-471f-4239-8b93-5c7ecad1e66f', issuer='jfac@01ezhf08by9nt90v6x5kgk1ceq', subject='jfac@01ezhf08by9nt90v6x5kgk1ceq', expiry=1614420546301, refreshable=false
2021-02-27T10:07:06.719Z [AUDIT] Token created by 'anonymous': tokenId='641ced77-b4d2-4d34-9954-fb6101838488', issuer='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', subject='jfrt@01ezhf0qhrd9pf0xtn2y4916ky', expiry=none, refreshable=false
2021-02-27T10:07:06.882Z [AUDIT] Token created by 'anonymous': tokenId='fe9bc54a-70be-4353-9e48-39e5c897a689', issuer='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', subject='jfmd@01ezhf0hn4nmyaesy0p5rb4gq2', expiry=none, refreshable=false
