2021-02-26T22:14:52.026Z [AUDIT] Token created by 'anonymous': tokenId='0d4de928-0507-465a-87e4-187fd5b9abab', issuer='jfrou@01ezg6h5mxgzc1pf0pe7nxrra6', subject='jfrou@01ezg6h5mxgzc1pf0pe7nxrra6', expiry=none, refreshable=false
2021-02-26T22:14:57.106Z [AUDIT] Token created by 'anonymous': tokenId='6ab265d3-a369-430e-b542-80615428ef9e', issuer='jfac@01ezg6gxw0xa8n02p1amfx0gt8', subject='jfac@01ezg6gxw0xa8n02p1amfx0gt8', expiry=1614377817101, refreshable=false
2021-02-26T22:14:57.593Z [AUDIT] Token created by 'anonymous': tokenId='a9b864f0-79b2-41b4-b0ae-042e207c0b5a', issuer='jfmd@01ezg6h7acryc6nwtt3s92678z', subject='jfmd@01ezg6h7acryc6nwtt3s92678z', expiry=none, refreshable=false
2021-02-26T22:14:59.367Z [AUDIT] Token created by 'anonymous': tokenId='02689e01-7091-447a-9fdc-422a9115f52e', issuer='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', subject='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', expiry=none, refreshable=false
2021-02-26T22:15:02.854Z [AUDIT] Token created by 'jfrt@01ezg6hgyftfxj1ttygr7k1z2x': tokenId='2cf053d2-0491-4e68-bac2-abbf0f24139c', issuer='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', subject='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', expiry=2560457702851, refreshable=false
2021-02-26T22:15:09.337Z [AUDIT] Token created by 'anonymous': tokenId='a6021b36-5886-42cc-9c9c-00ed55cf1c65', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-26T22:15:09.485Z [AUDIT] Token created by 'jffe@000': tokenId='c257bd8a-eb8c-4a06-b8f2-5bf7a14a82fa', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614378309485, refreshable=false
2021-02-26T22:15:37.137Z [AUDIT] Token created by 'jffe@000': tokenId='827e48ee-edee-479d-91dc-8d0ec149afb1', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614378337137, refreshable=false
2021-02-26T22:15:37.139Z [AUDIT] Token created by 'jffe@000': tokenId='a1ca9337-4404-45b4-9e39-96728b7d00e8', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614378337138, refreshable=false
2021-02-26T22:15:37.137Z [AUDIT] Token created by 'jffe@000': tokenId='0a04addf-7884-4144-bb0e-c226cd989f4e', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614378337137, refreshable=false
2021-02-26T22:15:37.139Z [AUDIT] Token created by 'jffe@000': tokenId='ffcf8f9a-0aad-4297-b869-3717bb7cce65', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614378337139, refreshable=false
2021-02-26T22:15:44.481Z [AUDIT] Token created by 'jffe@000': tokenId='2de45075-ca40-471a-b6e7-19879f261ad6', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614379544479, refreshable=true
2021-02-26T22:15:44.601Z [AUDIT] Token created by 'jffe@000': tokenId='7be0001f-a2a2-44c1-a96c-eba90eef7b3f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614378344600, refreshable=false
2021-02-26T22:15:44.603Z [AUDIT] Token created by 'jffe@000': tokenId='706abade-fe2a-457a-ab39-801685ec18d4', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614378344602, refreshable=false
2021-02-26T22:15:44.613Z [AUDIT] Token created by 'jffe@000': tokenId='d79ffb39-c478-4020-bcce-0e9f34e2a779', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614378344612, refreshable=false
2021-02-26T22:15:45.309Z [AUDIT] Token created by 'jffe@000': tokenId='5dd2017e-33b7-429b-847b-71c9a9a75bd0', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614378345308, refreshable=false
2021-02-27T09:41:33.450Z [AUDIT] Token created by 'anonymous': tokenId='f74340a3-2a39-477e-8a53-16d24b125c4e', issuer='jfrou@01ezg6h5mxgzc1pf0pe7nxrra6', subject='jfrou@01ezg6h5mxgzc1pf0pe7nxrra6', expiry=none, refreshable=false
2021-02-27T09:41:38.609Z [AUDIT] Token created by 'anonymous': tokenId='aff83ecb-3fab-42a1-baf8-e65616ab6c23', issuer='jfac@01ezg6gxw0xa8n02p1amfx0gt8', subject='jfac@01ezg6gxw0xa8n02p1amfx0gt8', expiry=1614419018599, refreshable=false
2021-02-27T09:41:38.744Z [AUDIT] Token created by 'anonymous': tokenId='e8c56ce0-78a0-4ab9-bc68-951c40121114', issuer='jfac@01ezg6gxw0xa8n02p1amfx0gt8', subject='jfac@01ezg6gxw0xa8n02p1amfx0gt8', expiry=1614419018739, refreshable=false
2021-02-27T09:41:38.971Z [AUDIT] Token created by 'anonymous': tokenId='d2f461eb-fecd-4938-8a0d-b0831a816ed3', issuer='jfac@01ezg6gxw0xa8n02p1amfx0gt8', subject='jfac@01ezg6gxw0xa8n02p1amfx0gt8', expiry=1614419018968, refreshable=false
2021-02-27T09:41:39.778Z [AUDIT] Token created by 'anonymous': tokenId='300cd22b-fd6b-4f2d-a684-761a41bf0d47', issuer='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', subject='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', expiry=none, refreshable=false
2021-02-27T09:41:39.924Z [AUDIT] Token created by 'anonymous': tokenId='f70880ad-ecd1-4755-9778-d58fd90434f8', issuer='jfmd@01ezg6h7acryc6nwtt3s92678z', subject='jfmd@01ezg6h7acryc6nwtt3s92678z', expiry=none, refreshable=false
2021-02-27T09:41:42.974Z [AUDIT] Token created by 'jfrt@01ezg6hgyftfxj1ttygr7k1z2x': tokenId='a0f4a412-6d22-494e-b879-2876a1108cef', issuer='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', subject='jfrt@01ezg6hgyftfxj1ttygr7k1z2x', expiry=2560498902970, refreshable=false
2021-02-27T09:41:49.149Z [AUDIT] Token created by 'anonymous': tokenId='eb71cae9-ba18-4fed-b960-78cd8405deff', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-27T09:41:49.313Z [AUDIT] Token created by 'jffe@000': tokenId='93e29fcc-005b-426b-bd96-20a12b23775b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614419509313, refreshable=false
